prot0,prot1,correlation
Q16363,O00159,0.9044974994189013
Q16363,P0CAP1,0.9030471563666389
Q16363,P50895,0.9063186067361989
Q16363,Q9NPY3,0.9220196901923672
Q16363,Q02763,0.9085701637077207
Q16363,P16284,0.9182849437199918
Q16363,O75923,0.9088593306775298
Q16363,Q9H8L6,0.917633424171291
Q16363,Q96AP7,0.902413297244029
Q16363,Q03135,0.9082412484018937
P05164,P54108,0.9000874215727331
Q16853,P40189,0.9019927329507549
Q16853,O94911,0.9107009582452178
Q16853,Q01118,0.9138555800455856
Q16853,Q4KMQ2,0.9082036789736061
Q16853,P63096,0.9139521515086229
O00501,O95810,0.9105035217782379
O00501,O00159,0.9128810189999292
O00501,P43121,0.9024121899860746
O00501,P98172,0.9028042331876244
O00501,P0CAP1,0.9248836179133002
O00501,P16066,0.9161610692669467
O00501,P50895,0.9099165876769104
O00501,Q9BXM0,0.904000349297125
O00501,Q96MM6,0.9144505528399383
O00501,Q9NPY3,0.922442034241694
O00501,Q16602,0.9043976060177691
O00501,P14222,0.9146665829328307
O00501,Q9NZA1,0.9138527923144968
O00501,Q9H8L6,0.9094036215478476
O00501,P53420,0.9035029192993228
O00501,P32241,0.9085735171679344
O00501,Q13326,0.9141017603940558
O00501,P08473,0.9083013932136721
O00501,Q6NZI2,0.9221034491627322
O00501,P51636,0.9111839454199125
O00501,Q15109,0.9064608975284619
Q8NGA1,P08758,0.9110808750652483
Q9BYB0,O95810,0.9127247981668074
Q9BYB0,Q9P266,0.9036536813469482
Q9BYB0,Q5U651,0.9454698090580113
Q9BYB0,Q9Y2D5,0.9036543347863792
Q9BYB0,Q96MM6,0.9119728904836734
Q9BYB0,P35241,0.9019889686951181
Q9BYB0,Q02763,0.9085532650916179
Q9BYB0,Q96AP7,0.9138011823438347
Q9BYB0,O95490,0.9090357299930487
Q9BYB0,P33151,0.9023171264254051
P04211,P80748,0.920589375654831
P04211,P04207,0.9311980511011967
P04211,P01767,0.9123451724387063
P04211,P01781,0.9262559867250677
P04211,P06331,0.9031608551352528
P01613,P01625,0.9172173838481662
P01613,P01857,0.9055294758836434
P01613,P80748,0.9173903668925389
P01613,P01743,0.9167038180769614
P01613,P04207,0.9137813715120254
P01613,P01781,0.9209421449556086
P01613,P01619,0.9170916961828361
P18583,Q99459,0.9224336530040521
P19823,P19827,0.9377988869623327
Q8WW12,Q9UKY7,0.9010901184271082
Q96PD5,P01042,0.9143872553643771
P01625,P01613,0.9172173838481662
P01625,P01857,0.9193949975608345
P01625,P01743,0.9156179231093589
P01625,P01781,0.9174293442347983
P01625,P01619,0.9284665972618488
P01625,P06331,0.904520985399119
Q86Y22,Q9UQL6,0.9496719447306802
Q86Y22,Q9H8P0,0.9451185112048576
Q86Y22,Q8N257,0.962108681337055
Q86Y22,Q9UII2,0.9194181014282041
Q86Y22,Q96LC7,0.9155347850501829
P05156,P02765,0.9053502009009448
P05156,P02790,0.9244884577715734
P05156,P43652,0.9180691142308754
P01616,P01857,0.9430443162866209
P01616,P01768,0.9151740911972264
P01616,P01767,0.914600354645782
P01616,P01781,0.938757655177357
P01616,P01619,0.9000403434691732
P01616,P06331,0.9186685703434522
O95810,O00501,0.9105035217782379
O95810,Q9BYB0,0.9127247981668074
O95810,O00159,0.94878331022844
O95810,P57087,0.9084334099014295
O95810,P24530,0.9083226387133156
O95810,Q10589,0.9062639994284258
O95810,P0CAP1,0.9360756291192364
O95810,Q5U651,0.9528942827335534
O95810,P50895,0.9417991679175567
O95810,Q86T13,0.924420705090377
O95810,Q8NFX7,0.9155852519870096
O95810,P26006,0.9024860761316728
O95810,Q9BXM0,0.9257505722431535
O95810,Q9Y2D5,0.9333639424716094
O95810,Q96MM6,0.9610596632343438
O95810,Q15599,0.9071169818728766
O95810,Q9NPY3,0.9456713161120874
O95810,P61952,0.9355025711763919
O95810,Q16602,0.9203075774472638
O95810,P35241,0.923865432779049
O95810,Q02763,0.9448076838509867
O95810,P16284,0.945873536407187
O95810,Q92959,0.9226094954898552
O95810,Q9H8L6,0.9358323110722631
O95810,Q96AP7,0.9525477184207359
O95810,O95490,0.9437330223618013
O95810,P53420,0.9032337166759318
O95810,P22748,0.9221146223050245
O95810,Q9HCM4,0.9011196544821555
O95810,P33151,0.9372479858185627
O95810,Q8IWA5,0.9111750590491272
Q8IUA7,O94911,0.90618477550026
O00159,Q16363,0.9044974994189013
O00159,O00501,0.9128810189999292
O00159,O95810,0.94878331022844
O00159,P43121,0.9368689448064365
O00159,P57087,0.9432300505749108
O00159,Q13873,0.9102668746486471
O00159,P24530,0.9002828935545492
O00159,P98172,0.906401960724687
O00159,Q8IVI9,0.9122890875333854
O00159,O15230,0.914060345508337
O00159,P0CAP1,0.9292732939523376
O00159,Q5U651,0.9183978212789738
O00159,P16066,0.9344537066460915
O00159,P50895,0.9638193953469787
O00159,Q86T13,0.9398071390583607
O00159,P26006,0.933623454957742
O00159,P29400,0.903301237421879
O00159,Q6UXH8,0.9091677659411518
O00159,Q9Y2D5,0.9249584175906155
O00159,P55268,0.9265377144027037
O00159,Q96MM6,0.9616745063021965
O00159,Q15599,0.9079356040141717
O00159,Q9NPY3,0.9476539753939746
O00159,P61952,0.9451995130550992
O00159,P11047,0.910637997151385
O00159,Q16602,0.9223678356858034
O00159,P10301,0.9052168199694658
O00159,P35241,0.935683353434808
O00159,P37173,0.914801920408724
O00159,Q02763,0.9553146410956334
O00159,Q8N8U9,0.9125723286867821
O00159,P16284,0.962219366177106
O00159,Q92959,0.9231994834086767
O00159,P55290,0.9190325511530391
O00159,P13598,0.901920993849769
O00159,Q9UHG3,0.9239296868346331
O00159,Q9NZA1,0.9100897256128186
O00159,Q9H8L6,0.9549252362608657
O00159,Q96AP7,0.9522370072092797
O00159,Q9UGT4,0.9268811650396824
O00159,Q9Y4D7,0.9197484035939948
O00159,O95490,0.9499542922266773
O00159,P53420,0.912273780164033
O00159,Q08722,0.9112575451543758
O00159,P62745,0.9075943116678494
O00159,P23634,0.9353229182805434
O00159,P50148,0.9419572843556103
O00159,Q13326,0.9130620915950312
O00159,P22748,0.9249180893702296
O00159,O43795,0.9180909545055346
O00159,Q9Y342,0.900960213074464
O00159,P23467,0.9274132376201641
O00159,Q14642,0.9502645981390483
O00159,P14543,0.9194580090543061
O00159,Q9NZN4,0.9065727939011717
O00159,O76024,0.9207049152329532
O00159,Q9HCM4,0.9288411264221119
O00159,P29992,0.9130617895932345
O00159,P33151,0.9500064817607522
O00159,Q03135,0.9654941161763858
O00159,P08473,0.9097913654809584
O00159,P42702,0.9016360974372225
O00159,Q6NZI2,0.9502890972652815
O00159,P51636,0.9618560212269631
O00159,Q8IVN8,0.9171757737899855
O00159,Q8IWA5,0.9443598107426254
Q08495,P0CAP1,0.9153738499492771
Q08495,P02549,0.9782704703889018
Q08495,Q02094,0.9201407429127539
Q08495,P61952,0.9028260058542461
Q08495,P01008,0.9069586833011025
Q08495,P16284,0.9007660083256195
Q08495,Q9NZA1,0.9165182859052589
Q08495,Q9H8L6,0.9031620751100811
Q08495,Q8WWA0,0.9035662850015022
Q08495,Q13336,0.9583821096648641
Q08495,Q03135,0.9072875222486108
Q08495,P08473,0.9265590527727889
Q08495,Q15109,0.9080116487800317
Q15424,Q9Y2W2,0.9152267929464288
Q15424,O43290,0.9076554312336494
P01857,P01613,0.9055294758836434
P01857,P01625,0.9193949975608345
P01857,P01616,0.9430443162866209
P01857,P80748,0.9194576649757438
P01857,P01743,0.9331766537915497
P01857,P01834,0.9135454215038215
P01857,B9A064,0.9019042684019175
P01857,P01768,0.9593069186088177
P01857,P04207,0.9121228220169131
P01857,P01598,0.9285756465880597
P01857,P06316,0.9331536526324911
P01857,P01767,0.9326287604148502
P01857,P01781,0.9590393738465878
P01857,P01619,0.9332965504512236
P01857,P06331,0.9516190019634712
P01857,P01608,0.9065128480668533
P43121,O00501,0.9024121899860746
P43121,O00159,0.9368689448064365
P43121,O15230,0.9198579923809662
P43121,P0CAP1,0.9017319896896167
P43121,P16066,0.9081766088149978
P43121,P50895,0.923425423972697
P43121,P55268,0.9582094391161361
P43121,Q9NPY3,0.9245785528633701
P43121,P11047,0.922948164591818
P43121,P55290,0.9331015910318561
P43121,Q9H8L6,0.9434447798435172
P43121,Q96AP7,0.9022647529251989
P43121,P53420,0.9051719146715768
P43121,Q14642,0.904169201674391
P43121,P14543,0.9131406862266002
P43121,Q6UWY5,0.9029609274048103
P43121,Q03135,0.9458980809842285
P43121,Q6NZI2,0.9192948500790573
P43121,P51636,0.9326250297178416
P43121,Q8IVN8,0.9567877522745896
P07204,P57087,0.9014751112098783
P07204,Q13873,0.9005924322433823
P07204,Q9BXM0,0.916014656862134
P07204,Q96MM6,0.9179809450581446
P07204,Q16602,0.9259066823687722
P07204,Q92959,0.9348281661568656
P07204,P32241,0.9150765265890536
Q9UM07,P17213,0.9084852719355758
Q9UM07,P22894,0.9311213440543618
Q9UM07,P20160,0.9457954398163734
Q9UM07,P02788,0.9411436746649051
P57087,O95810,0.9084334099014295
P57087,O00159,0.9432300505749108
P57087,P07204,0.9014751112098783
P57087,P98172,0.9068761480886407
P57087,Q10589,0.9004118330670386
P57087,P16066,0.917830069461181
P57087,P50895,0.9282814084132303
P57087,Q86T13,0.9054457700166771
P57087,Q96MM6,0.9551425472724375
P57087,Q15599,0.9037750260107432
P57087,Q9NPY3,0.911900434370132
P57087,P61952,0.9325621527681176
P57087,Q16602,0.9417881417240336
P57087,Q02763,0.9246942306834047
P57087,Q8N8U9,0.9010175314616454
P57087,P16284,0.9480959990171529
P57087,Q92959,0.9379265708885316
P57087,Q9H8L6,0.9122992843443237
P57087,Q96AP7,0.9297374252041269
P57087,O95490,0.9225444515110678
P57087,P27105,0.9044363087914203
P57087,P23634,0.9095458798962421
P57087,Q13326,0.9022001755884694
P57087,P22748,0.9140312494827129
P57087,Q14642,0.9135113525062225
P57087,Q03135,0.9408339505187653
P57087,Q6NZI2,0.908380167101241
P57087,P51636,0.9172819120817911
P57087,Q8IWA5,0.9052641951143577
Q13873,O00159,0.9102668746486471
Q13873,P07204,0.9005924322433823
Q13873,Q96MM6,0.9185669963431244
Q13873,Q9NPY3,0.9014543355818769
Q13873,Q02763,0.9134303983713772
Q13873,Q92959,0.920502692271046
Q13873,O95490,0.9039893026170608
Q13873,P33151,0.9062535594817711
P27169,P80108,0.928176372915585
A6NMZ7,Q6UWY5,0.9213251753776598
Q9P266,Q9BYB0,0.9036536813469482
Q9P266,Q5U651,0.9000758554527621
Q9P266,Q9Y2D5,0.9220034293157237
Q9P266,Q07157,0.9039659072889058
O60264,Q9BUQ8,0.9122625639571027
Q6WRI0,O14495,0.9020201826241528
P17661,Q9BX66,0.9014760810380176
O75954,Q4KMQ2,0.9329729389636259
O75954,P56199,0.9103958976486056
Q7Z7G0,P08294,0.9175706032547171
Q9BZE4,Q9Y3C1,0.9146964290121544
Q9BYN0,Q9UHW9,0.9454722209543702
Q99459,P18583,0.9224336530040521
Q9Y5Y7,P55087,0.9285683057115862
Q9Y5Y7,Q9NPY3,0.9149598135472787
Q9Y5Y7,P61952,0.921170235055404
Q9Y5Y7,Q9NZA1,0.9085621812546526
Q9Y5Y7,P22748,0.9209377995217034
Q9Y5Y7,Q03135,0.9115495117663958
Q9Y5Y7,P08473,0.9018266428678894
Q9Y624,P26006,0.9018831746317647
Q9Y624,Q9HCM4,0.9113466711987419
P02768,P43652,0.9512944269983343
Q96LL9,Q05932,0.9133352897705318
P17213,Q9UM07,0.9084852719355758
P17213,O43451,0.920728076876647
Q8NDX6,Q05932,0.9250285059136711
Q8NDX6,Q9H8P0,0.9044872913705635
Q8NDX6,P01703,0.9076421802263256
Q8NDX6,O75414,0.9268859972539838
P37023,P35241,0.9105807328406766
P80748,P04211,0.920589375654831
P80748,P01613,0.9173903668925389
P80748,P01857,0.9194576649757438
P80748,P01768,0.9150865348145263
P80748,P04207,0.9355396570259765
P80748,P01598,0.914199391523238
P80748,P06316,0.9005143894403524
P80748,P01781,0.9366986920830245
P80748,P01619,0.9019109802272504
P80748,P06331,0.9245012562054992
P24530,O95810,0.9083226387133156
P24530,O00159,0.9002828935545492
P24530,Q10589,0.9095567644583185
P24530,Q9BXM0,0.9158235370791824
P24530,Q96MM6,0.9282928388413373
P24530,Q16602,0.9111198512157674
P24530,P35241,0.9074549577784026
P24530,Q02763,0.9281628038138193
P24530,P16284,0.9173677091599441
P24530,Q92959,0.911671658511108
P24530,Q96AP7,0.9247327956473559
P24530,O95490,0.910285720566337
P24530,P22748,0.9029778024166736
P24530,P33151,0.924270154390374
P13224,P11277,0.9148499153411721
P13224,P16157,0.9151150281600869
P13224,P02549,0.9155389396979485
P13224,P02776,0.9126443105863954
P13224,P02730,0.9170693050212829
P13224,P16452,0.9206539834451825
P13224,Q13336,0.9015000321375222
P49750,Q14966,0.901456076681058
P49750,O43290,0.9137797950875315
Q96FN4,Q9Y4D7,0.9119181104191876
Q9Y5M8,Q6NUQ4,0.9253198944897191
Q63HR2,P46939,0.9027007275378566
Q63HR2,Q13425,0.9225813297552822
P98172,O00501,0.9028042331876244
P98172,O00159,0.906401960724687
P98172,P57087,0.9068761480886407
P98172,P0CAP1,0.9275003153694465
P98172,P16066,0.9026514024967036
