prot0,prot1,correlation
P98172,Q8NFX7,0.9147309309028194
P98172,Q9BXM0,0.9133506190170412
P98172,Q96MM6,0.9195302834460639
P98172,Q9NPY3,0.9061509969659749
P98172,Q16602,0.9373379587603196
P98172,P35241,0.900369027799618
P98172,Q02763,0.9228220825775756
P98172,Q92959,0.9204157490931056
P98172,P32241,0.9138581531197614
P98172,Q13326,0.9020649642532184
P98172,P22748,0.9017488668140037
P98172,Q03135,0.9187561391102
P98172,P08473,0.9005398408632929
Q8TDB4,Q8WWA0,0.9025427944723198
Q8TDB4,Q15109,0.9027627574109572
Q10589,O95810,0.9062639994284258
Q10589,P57087,0.9004118330670386
Q10589,P24530,0.9095567644583185
Q10589,P0CAP1,0.9154556475366666
Q10589,Q9BXM0,0.9132839502573808
Q10589,Q96MM6,0.929171888528434
Q10589,Q9NPY3,0.902749821356181
Q10589,P61952,0.9237791228844731
Q10589,Q16602,0.9165754037688632
Q10589,P35241,0.9048910712836572
Q10589,Q02763,0.9032478845724193
Q10589,P16284,0.9253129016789501
Q10589,Q92959,0.9306413762812611
Q10589,P13598,0.907912702286
Q10589,Q96AP7,0.9269102836086973
Q10589,O95490,0.9123880238377051
Q10589,P22748,0.9141431713314462
Q10589,P33151,0.928199214243826
Q10589,Q03135,0.9050852004580003
P40189,Q16853,0.9019927329507549
Q8IVI9,O00159,0.9122890875333854
Q15118,P61009,0.9073833286210179
Q969R8,Q05932,0.9043715164169
P11277,P13224,0.9148499153411721
P11277,Q9NZA1,0.9125934671842714
P11277,Q8WWA0,0.9074604878861503
P11277,P08514,0.9007922467392814
P11277,Q13336,0.9719932172754242
P11277,P08473,0.9195559919364955
P11277,Q15109,0.9130265758505582
P46939,Q63HR2,0.9027007275378566
P46939,Q13813,0.9015090410656013
P46939,O43491,0.9104364749237803
P46939,Q01082,0.9133806678001647
P46939,P29992,0.9055761163338419
O15230,O00159,0.914060345508337
O15230,P43121,0.9198579923809662
O15230,Q9H8L6,0.9102595130154943
O15230,P09038,0.9027134380506389
O15230,P23467,0.9179373845780607
O15230,Q14642,0.9163669513339043
O15230,Q03135,0.9055922314268209
O15230,Q8IVN8,0.901992019139672
P01743,P01613,0.9167038180769614
P01743,P01625,0.9156179231093589
P01743,P01857,0.9331766537915497
P01743,P01834,0.9239049859666133
P01743,B9A064,0.9105855680182696
P01743,P01768,0.9225605692334906
P01743,P01781,0.9312225189421662
P01743,P01619,0.9237141452832957
P01743,P06331,0.9328020016072891
P28676,Q6UX06,0.9069635577321218
P11233,P07947,0.9050342617828068
P11233,Q9UHN6,0.9153781448699195
Q9UQL6,Q86Y22,0.9496719447306802
Q9UQL6,Q9H8P0,0.9280455916772927
Q9UQL6,Q9UII2,0.9137548584313161
Q9UQL6,P35568,0.9175083059726885
Q9UQL6,Q96LC7,0.9357719368293065
Q9H2F9,Q96MM6,0.9012257187632388
Q9H2F9,O95490,0.9020719397303144
P06127,A0A5B9,0.908851871481845
P0CAP1,Q16363,0.9030471563666389
P0CAP1,O00501,0.9248836179133002
P0CAP1,O95810,0.9360756291192364
P0CAP1,O00159,0.9292732939523376
P0CAP1,Q08495,0.9153738499492771
P0CAP1,P43121,0.9017319896896167
P0CAP1,P98172,0.9275003153694465
P0CAP1,Q10589,0.9154556475366666
P0CAP1,P50895,0.9225782546792951
P0CAP1,Q8NFX7,0.9155900412825573
P0CAP1,P16157,0.9001519984503934
P0CAP1,P29400,0.9015878740555484
P0CAP1,Q9BXM0,0.9499917340165316
P0CAP1,P02549,0.9055916356499074
P0CAP1,Q9Y2D5,0.9143435905925603
P0CAP1,Q96MM6,0.9431599493511715
P0CAP1,Q02094,0.9049427660979205
P0CAP1,Q9NPY3,0.9652387576883226
P0CAP1,P61952,0.939387127824999
P0CAP1,Q16602,0.9453473050188431
P0CAP1,P35241,0.9299476952149192
P0CAP1,Q02763,0.9474378884067872
P0CAP1,Q8N8U9,0.9148623264281995
P0CAP1,P16284,0.9493525549983932
P0CAP1,P31645,0.9177005954378747
P0CAP1,Q92959,0.9260734832871527
P0CAP1,P14222,0.9355334602417765
P0CAP1,Q9NZA1,0.9442029060038245
P0CAP1,P02730,0.9010533517992234
P0CAP1,Q9H8L6,0.9368923483769462
P0CAP1,Q96AP7,0.9281654612584053
P0CAP1,Q8WWA0,0.9014603370486015
P0CAP1,O95490,0.9303747026816799
P0CAP1,P53420,0.9293935281242125
P0CAP1,P32241,0.9579700748543205
P0CAP1,P16452,0.9046129710447052
P0CAP1,P22748,0.9327662302672997
P0CAP1,Q9Y342,0.9076276409859434
P0CAP1,Q8NFJ5,0.9333326858335369
P0CAP1,P33151,0.9105364710025762
P0CAP1,Q03135,0.9462092909916959
P0CAP1,P08473,0.9425866952305453
P0CAP1,Q6NZI2,0.9229210224905874
P0CAP1,P51636,0.9244462752209197
P0CAP1,Q15109,0.9373613275619735
P0CAP1,Q9UHN6,0.91114297229398
O94989,Q5U651,0.9146457369188116
O94989,P33151,0.9019090435114825
Q5U651,Q9BYB0,0.9454698090580113
Q5U651,O95810,0.9528942827335534
Q5U651,O00159,0.9183978212789738
Q5U651,Q9P266,0.9000758554527621
Q5U651,O94989,0.9146457369188116
Q5U651,P50895,0.9126808193931769
Q5U651,Q86T13,0.918936025889669
Q5U651,Q9BXM0,0.903670623185323
Q5U651,Q9Y2D5,0.9107301443142954
Q5U651,Q96MM6,0.9467569632697919
Q5U651,Q15599,0.9008571577464712
Q5U651,Q9NPY3,0.9304078370457575
Q5U651,P61952,0.9157994227770402
Q5U651,P35241,0.9013799171358006
Q5U651,Q02763,0.9327372289638307
Q5U651,P16284,0.9273080616936016
Q5U651,P13598,0.9178605766657749
Q5U651,Q9H8L6,0.9085871942489957
Q5U651,Q96AP7,0.941235820030619
Q5U651,Q9Y4D7,0.9037406002850324
Q5U651,O95490,0.9274684319715387
Q5U651,Q9NZN4,0.9021171029958885
Q5U651,Q03135,0.9048396761883064
Q5U651,Q6NZI2,0.9283526922388005
Q5U651,Q6NY19,0.9166728702732506
Q96PK6,O43290,0.9156362692819259
P16066,O00501,0.9161610692669467
P16066,O00159,0.9344537066460915
P16066,P43121,0.9081766088149978
P16066,P57087,0.917830069461181
P16066,P98172,0.9026514024967036
P16066,P50895,0.9224968380418332
P16066,P55268,0.9044058558073744
P16066,Q96MM6,0.9110148223789081
P16066,Q9NPY3,0.9125292606177456
P16066,Q02763,0.9124124519297274
P16066,Q8N8U9,0.9032699977609358
P16066,P16284,0.9267309617611015
P16066,Q9H8L6,0.9149871665926153
P16066,O95490,0.9064126659879437
P16066,P62745,0.9081408987193252
P16066,P23634,0.9325241996362623
P16066,Q13326,0.9203624470790328
P16066,P23467,0.9097184140253884
P16066,Q14642,0.9099951433581652
P16066,Q03135,0.9251186512326917
P16066,Q6NZI2,0.9013004607692994
P16066,Q8IVN8,0.9089322253707652
P16066,Q8IWA5,0.9098423380385562
Q05932,Q96LL9,0.9133352897705318
Q05932,Q8NDX6,0.9250285059136711
Q05932,Q969R8,0.9043715164169
Q05932,Q9H8P0,0.9371617353073726
Q05932,P01703,0.9330893309365628
Q05932,O75414,0.9452329385445977
P50895,Q16363,0.9063186067361989
P50895,O00501,0.9099165876769104
P50895,O95810,0.9417991679175567
P50895,O00159,0.9638193953469787
P50895,P43121,0.923425423972697
P50895,P57087,0.9282814084132303
P50895,P0CAP1,0.9225782546792951
P50895,Q5U651,0.9126808193931769
P50895,P16066,0.9224968380418332
P50895,Q86T13,0.9339846486719275
P50895,P26006,0.9315093834477723
P50895,P29400,0.9087819865232787
P50895,Q6UXH8,0.9127582464198237
P50895,P55268,0.9224191989028457
P50895,Q96MM6,0.9461856062737811
P50895,Q15599,0.9017650086011987
P50895,Q9NPY3,0.9436757493815339
P50895,P61952,0.9423462772113922
P50895,P11047,0.9272272648948151
P50895,Q16602,0.9193180390222159
P50895,P35241,0.9129595745716915
P50895,Q02763,0.9407246807128009
P50895,Q8N8U9,0.9080249076189041
P50895,P16284,0.9505983228096186
P50895,Q92959,0.9087183639642431
P50895,P55290,0.9261713973889322
P50895,Q9NZA1,0.9096615876387517
P50895,Q9H8L6,0.9588868437986658
P50895,Q96AP7,0.9460597677631499
P50895,Q9UGT4,0.9141070891355961
P50895,O95490,0.9410249633946987
P50895,P53420,0.9270156103676009
P50895,P23634,0.9006749194212895
P50895,P22748,0.9293289690546626
P50895,Q9HB63,0.901560201466045
P50895,P23467,0.9220470095628283
P50895,Q14642,0.9132650917931768
P50895,P14543,0.9371166674252718
P50895,Q9HCM4,0.9094447088199087
P50895,P33151,0.9331204202894455
P50895,Q03135,0.9577689933327286
P50895,P08473,0.918299572109588
P50895,Q6NZI2,0.9434730852619341
P50895,P51636,0.9489696242720841
P50895,Q8IVN8,0.9090921594097262
P50895,Q8IWA5,0.9203573911643111
P50895,O00468,0.9078091915035048
Q86T13,O95810,0.924420705090377
Q86T13,O00159,0.9398071390583607
Q86T13,P57087,0.9054457700166771
Q86T13,Q5U651,0.918936025889669
Q86T13,P50895,0.9339846486719275
Q86T13,P26006,0.9393111414333594
Q86T13,Q9Y2D5,0.9105666851554128
Q86T13,Q96MM6,0.9288359249989814
Q86T13,Q15599,0.9105492886247458
Q86T13,Q9NPY3,0.9303053303931162
Q86T13,P61952,0.9425564233307301
Q86T13,P35241,0.9168493898955492
Q86T13,Q02763,0.9318717815129406
Q86T13,Q14162,0.9059644409487444
Q86T13,P16284,0.937532579635025
Q86T13,P13598,0.901082359743041
Q86T13,Q96AP7,0.9536486827719405
Q86T13,Q9Y4D7,0.9237634234021593
Q86T13,O95490,0.9473748585758451
Q86T13,P23634,0.9008020823914887
Q86T13,P22748,0.9415752564108728
Q86T13,P23467,0.9283796893459114
Q86T13,Q14642,0.9126927668566509
Q86T13,P14543,0.9124267044679727
Q86T13,Q03135,0.9240934709685567
Q86T13,P42702,0.9088165881225172
Q86T13,Q6NZI2,0.9166900616850088
Q86T13,Q8IWA5,0.9097256706971316
Q86T13,P12821,0.9194000403480378
P07947,P11233,0.9050342617828068
P07947,P35241,0.9107593046656739
P07947,Q9UHN6,0.9077061167119413
Q8NFX7,O95810,0.9155852519870096
Q8NFX7,P98172,0.9147309309028194
Q8NFX7,P0CAP1,0.9155900412825573
Q8NFX7,Q9BXM0,0.9057926989572374
Q8NFX7,Q96MM6,0.9023212936430782
Q8NFX7,Q9NPY3,0.9218809939643909
Q8NFX7,Q02763,0.9333422551063502
Q8NFX7,P12429,0.9079115041112732
Q8NFX7,Q9NZA1,0.9016401019957511
Q8NFX7,P32241,0.9098192196750527
Q8NFX7,Q9Y342,0.9013272596587506
P02765,P05156,0.9053502009009448
P01834,P01857,0.9135454215038215
P01834,P01743,0.9239049859666133
P01834,B9A064,0.9478609392115436
P01834,P01619,0.9107015207163123
P80108,P27169,0.928176372915585
P80108,P03952,0.9213978008153537
Q13425,Q63HR2,0.9225813297552822
Q13425,O94911,0.9089160008415526
Q13425,Q4KMQ2,0.9183657263878814
P01911,Q9GIY3,0.9307337192898323
Q9NRN5,Q13491,0.9010899882755179
Q9NRN5,Q6UWY5,0.9735453550711725
P26006,O95810,0.9024860761316728
P26006,O00159,0.933623454957742
P26006,Q9Y624,0.9018831746317647
P26006,P50895,0.9315093834477723
P26006,Q86T13,0.9393111414333594
P26006,Q96MM6,0.9074506745330291
P26006,Q15599,0.9369496214755864
P26006,P61952,0.9257777416043497
P26006,P35241,0.9036567721626462
P26006,Q02763,0.9127559555419847
P26006,P16284,0.910380596927346
P26006,Q9UI36,0.90100595361121
P26006,Q9H8L6,0.9035635589838618
P26006,Q96AP7,0.9271897750102481
P26006,O95490,0.9422340489930415
P26006,Q08722,0.9176949562580756
P26006,P22748,0.9189268726502997
P26006,P23467,0.9069962158105658
P26006,Q14642,0.9271005017979312
P26006,Q9HCM4,0.9214633566446995
P26006,P33151,0.9321487628236612
P26006,Q03135,0.9069769186492388
P26006,P42702,0.908060388848943
P26006,Q8IWA5,0.9335040791912296
Q07352,Q9H8P0,0.9110716245120672
Q15011,Q15005,0.9030664350050966
P50993,Q13683,0.931922615796207
P50993,P35749,0.9029659630337995
P50993,Q14BN4,0.9113447249539239
P16157,P13224,0.9151150281600869
P16157,P0CAP1,0.9001519984503934
P16157,P01008,0.9040645382296475
P16157,Q8N8U9,0.9015208609094182
P16157,Q9NZA1,0.9246419584275514
P16157,Q8WWA0,0.924878063192993
P16157,Q13336,0.9698397870730363
P16157,Q03135,0.9010381247341527
P16157,P08473,0.9286339588197409
P16157,Q15109,0.9309654221589299
Q9Y210,Q14642,0.9084988067753572
P55087,Q9Y5Y7,0.9285683057115862
P55087,Q9Y2D5,0.9102792126073896
P55087,P61952,0.9222746069136637
P55087,P35241,0.9044143613730412
P55087,P22748,0.921375357218882
P55087,Q9HCM4,0.9091588965771908
P55087,Q03135,0.9066644435194189
P29536,Q14BN4,0.9190315049582162
P01024,P05543,0.917045411730538
P01024,P08185,0.9005648081580532
O94911,Q16853,0.9107009582452178
O94911,Q8IUA7,0.90618477550026
O94911,Q13425,0.9089160008415526
O94911,Q01118,0.9238658564228371
P29400,O00159,0.903301237421879
P29400,P0CAP1,0.9015878740555484
P29400,P50895,0.9087819865232787
P29400,Q9NPY3,0.9123348157595866
P29400,P16284,0.9121396246063753
P29400,Q9NZA1,0.903596126912379
P29400,Q9H8L6,0.9236709706383671
P29400,Q03135,0.9009642467041751
P29400,P08473,0.9159065287822007
P29400,Q8IVN8,0.9006392793936647
Q9BXM0,O00501,0.904000349297125
Q9BXM0,O95810,0.9257505722431535
Q9BXM0,P07204,0.916014656862134
Q9BXM0,P24530,0.9158235370791824
Q9BXM0,P98172,0.9133506190170412
Q9BXM0,Q10589,0.9132839502573808
Q9BXM0,P0CAP1,0.9499917340165316
Q9BXM0,Q5U651,0.903670623185323
Q9BXM0,Q8NFX7,0.9057926989572374
Q9BXM0,Q96MM6,0.946517446663975
Q9BXM0,Q9NPY3,0.9393936430591598
Q9BXM0,Q16602,0.954537751223855
Q9BXM0,P35241,0.9301613333787385
Q9BXM0,Q02763,0.9295266767769081
Q9BXM0,P16284,0.9282787431659422
Q9BXM0,P31645,0.9279892772084237
Q9BXM0,Q92959,0.9398021061126008
Q9BXM0,P14222,0.9294158349827764
Q9BXM0,Q9NZA1,0.9106146458139722
Q9BXM0,Q9H8L6,0.900874412933226
Q9BXM0,Q96AP7,0.9100163308414297
Q9BXM0,O95490,0.9106167568628131
Q9BXM0,P32241,0.9623043632058587
Q9BXM0,P22748,0.9159504138876859
