stringId_A,stringId_B,Name_A,Name_B,combined_score,experimental_score,textmining_score,database_score,corr_score
ENSP00000392709,ENSP00000237889,NDUFS1,NDUFB3,0.996,0.876,0.52,0.9,0.9060632552220357
ENSP00000392709,ENSP00000266544,NDUFS1,NDUFA9,0.999,0.983,0.62,0.9,0.9142186028023082
ENSP00000360883,ENSP00000360869,IFIT3,IFIT1,0.999,0.938,0.0933,0.9,0.9640424279149524
ENSP00000360891,ENSP00000360869,IFIT2,IFIT1,0.997,0.817,0.0800,0.9,0.9263510993984903
ENSP00000368699,ENSP00000360869,ISG15,IFIT1,0.998,0.163,0.85,0.9,0.9048334617149761
ENSP00000473172,ENSP00000318297,RUVBL2,RUVBL1,0.999,0.991,0.0774,0.9,0.9134891214372421
ENSP00000364597,ENSP00000225275,PADI4,MPO,0.666,0.0,0.63,0.0,0.9333817799437331
ENSP00000364597,ENSP00000296435,PADI4,CAMP,0.513,0.0,0.47,0.0,0.9006388136583241
ENSP00000364597,ENSP00000234347,PADI4,PRTN3,0.683,0.0,0.6,0.0,0.9548282243355194
ENSP00000466090,ENSP00000364597,ELANE,PADI4,0.61,0.0,0.5,0.0,0.9514325759505827
ENSP00000385477,ENSP00000383376,CLDN5,JAM2,0.473,0.0,0.44,0.0,0.9041297212055925
ENSP00000383376,ENSP00000344115,JAM2,CDH5,0.439,0.0,0.42,0.0,0.9362451176435905
ENSP00000351310,ENSP00000300527,COL6A6,COL6A2,0.938,0.0,0.2704,0.9,0.9083560580113237
ENSP00000351310,ENSP00000265379,COL6A6,COL6A5,0.908,0.0,0.03736,0.9,0.9251887077378066
ENSP00000355180,ENSP00000351310,COL6A1,COL6A6,0.96,0.0,0.29182,0.9,0.9312743830794948
ENSP00000481029,ENSP00000401802,PSMC3,PSMC6,0.999,0.994,0.09842,0.9,0.9237130073486046
ENSP00000481029,ENSP00000157812,PSMC3,PSMC4,0.999,0.994,0.08682,0.9,0.9363890763464892
ENSP00000354040,ENSP00000346120,GTPBP4,DDX21,0.96,0.192,0.1,0.0,0.9116426230711878
ENSP00000371858,ENSP00000346120,NOP2,DDX21,0.6,0.32,0.22,0.0,0.9121795591622309
ENSP00000418438,ENSP00000296684,NDUFA3,NDUFS4,0.998,0.938,0.40,0.9,0.9129375950921272
ENSP00000401437,ENSP00000363071,LDB3,DES,0.496,0.0,0.40,0.0,0.9147230910431382
ENSP00000379350,ENSP00000011898,ITGB1,TSPAN9,0.545,0.0,0.53,0.0,0.906155125378405
ENSP00000284322,ENSP00000262551,ABI3BP,OGN,0.425,0.0,0.28,0.0,0.9164391445465643
ENSP00000375778,ENSP00000264144,LAMB3,LAMC2,0.978,0.478,0.38035,0.9,0.9846454243815841
ENSP00000324532,ENSP00000264144,LAMA3,LAMC2,0.948,0.0,0.37409,0.9,0.934150803088415
