stringId_A,stringId_B,Name_A,Name_B,combined_score,experimental_score,textmining_score,database_score,corr_score
ENSP00000236826,ENSP00000225275,MMP8,MPO,0.626,0,0.58,0,0.9572403504482926
ENSP00000233997,ENSP00000225275,AZU1,MPO,0.985,0.061,0.59,0.9,0.9586735096951982
ENSP00000466090,ENSP00000225275,ELANE,MPO,0.995,0.061,0.81,0.9,0.9629187674420991
ENSP00000360883,ENSP00000360869,IFIT3,IFIT1,0.999,0.938,0.0933,0.9,0.9640424279149524
ENSP00000369654,ENSP00000251595,HBD,HBA2,0.989,0.946,0.059,0.72,0.9791106744092153
ENSP00000333994,ENSP00000251595,HBB,HBA2,0.995,0.965,0.090,0.72,0.9822936663327022
ENSP00000430656,ENSP00000251595,CA1,HBA2,0.429,0,0.38,0,0.9684153724426764
ENSP00000411532,ENSP00000262105,TOP2A,MCM4,0.916,0.05,0.47,0,0.9516178979606725
ENSP00000349541,ENSP00000305675,PTRF,SDPR,0.519,0.32,0.1508,0,0.9713148062419429
ENSP00000364979,ENSP00000353654,COL4A1,COL4A2,0.999,0.886,0.0991,0.9,0.970626983797077
ENSP00000263413,ENSP00000223642,C6,C5,0.993,0.87,0.47,0.9,0.9776448129641215
ENSP00000224181,ENSP00000223642,C8G,C5,0.93,0,0.31,0.9,0.9516451603664452
ENSP00000354720,ENSP00000323421,SMC3,SMC1A,0.999,0.956,0.42301,0.9,0.9665673665390825
ENSP00000451752,ENSP00000427866,SPTB,DMTN,0.626,0.379,0.36,0,0.9789224740082516
ENSP00000427866,ENSP00000265709,DMTN,ANK1,0.515,0,0.47,0,0.9779730572770284
ENSP00000427866,ENSP00000262418,DMTN,SLC4A1,0.703,0,0.5,0,0.9727119015647749
ENSP00000427866,ENSP00000300215,DMTN,EPB42,0.876,0.379,0.42,0,0.9712318860029973
ENSP00000263413,ENSP00000223642,C6,C5,0.993,0.87,0.47,0.9,0.9776448129641215
ENSP00000369654,ENSP00000251595,HBD,HBA2,0.989,0.946,0.059,0.72,0.9791106744092153
ENSP00000369654,ENSP00000333994,HBD,HBB,0.924,0,0.01091,0.9,0.9873343582075004
ENSP00000430656,ENSP00000369654,CA1,HBD,0.689,0,0.1,0,0.9667785777928954
ENSP00000360883,ENSP00000360869,IFIT3,IFIT1,0.999,0.938,0.0933,0.9,0.9640424279149524
ENSP00000364597,ENSP00000234347,PADI4,PRTN3,0.683,0,0.6,0,0.9548282243355194
ENSP00000466090,ENSP00000364597,ELANE,PADI4,0.61,0,0.5,0,0.9514325759505827
ENSP00000375778,ENSP00000264144,LAMB3,LAMC2,0.978,0.478,0.38035,0.9,0.9846454243815841
ENSP00000364034,ENSP00000346206,TAP2,TAP1,0.963,0.453,0.13475,0.9,0.98165255416392
ENSP00000411355,ENSP00000349252,PTPRC,ITGAL,0.922,0.404,0.6,0,0.9505577824409662
ENSP00000419027,ENSP00000365462,PCCB,PCCA,0.999,0.714,0.94,0.9,0.9636025684170739
ENSP00000300527,ENSP00000295550,COL6A2,COL6A3,0.989,0,0.32104,0.9,0.9727712925809515
ENSP00000355180,ENSP00000300527,COL6A1,COL6A2,0.996,0,0.16202,0.9,0.976888060338487
ENSP00000385834,ENSP00000295897,TF,ALB,0.983,0.104,0.66,0.9,0.9707339245591828
ENSP00000295897,ENSP00000265983,ALB,HPX,0.976,0.043,0.67,0.9,0.9737679442103042
ENSP00000383382,ENSP00000262407,GP1BB,ITGA2B,0.659,0.055,0.60,0,0.9630660017855032
ENSP00000270225,ENSP00000246548,SAE1,UBA2,0.999,0.996,0.4128,0.9,0.9612798185744682
ENSP00000451752,ENSP00000427866,SPTB,DMTN,0.626,0.379,0.36,0,0.9789224740082516
ENSP00000451752,ENSP00000265709,SPTB,ANK1,0.996,0.899,0.66,0.9,0.9964843479068951
ENSP00000451752,ENSP00000357129,SPTB,SPTA1,0.992,0.886,0.31481,0.9,0.9959017727823778
ENSP00000451752,ENSP00000262418,SPTB,SLC4A1,0.734,0.084,0.71,0,0.9941803858633569
ENSP00000451752,ENSP00000300215,SPTB,EPB42,0.779,0,0.77,0,0.9933947813233482
ENSP00000388325,ENSP00000252999,LAMB2,LAMA5,0.992,0.802,0.1996,0.9,0.9680274997739569
ENSP00000258341,ENSP00000252999,LAMC1,LAMA5,0.995,0.812,0.30013,0.9,0.9533857574564776
ENSP00000264187,ENSP00000252999,NID1,LAMA5,0.958,0.157,0.53,0.9,0.9607832353201128
ENSP00000270225,ENSP00000246548,SAE1,UBA2,0.999,0.996,0.4128,0.9,0.9612798185744682
ENSP00000358151,ENSP00000225983,HIST2H2BE,HDAC5,0.939,0.157,0.32,0.9,0.9820293272950454
ENSP00000438615,ENSP00000385035,C1R,C1S,0.998,0.87,0.11591,0.9,0.9820652060097989
ENSP00000262193,ENSP00000044462,PSMB1,PSMA4,0.999,0.993,0.72,0.9,0.9519342782567393
ENSP00000364034,ENSP00000346206,TAP2,TAP1,0.963,0.453,0.13475,0.9,0.98165255416392
ENSP00000480987,ENSP00000216122,MCM3,MCM5,0.999,0.985,0.24358,0.9,0.9658068307846672
ENSP00000480987,ENSP00000262105,MCM3,MCM4,0.999,0.977,0.26245,0.9,0.9729247882603338
ENSP00000480987,ENSP00000265056,MCM3,MCM2,0.999,0.998,0.24537,0.9,0.955498298705788
ENSP00000480987,ENSP00000264156,MCM3,MCM6,0.999,0.998,0.2493,0.9,0.9685449889637675
ENSP00000480987,ENSP00000307288,MCM3,MCM7,0.999,0.998,0.207,0.9,0.9545888600811742
ENSP00000480987,ENSP00000216122,MCM3,MCM5,0.999,0.985,0.24358,0.9,0.9658068307846672
ENSP00000264156,ENSP00000216122,MCM6,MCM5,0.999,0.998,0.23041,0.9,0.9664227155309684
ENSP00000269576,ENSP00000252244,KRT10,KRT1,0.999,0.99,0.106,0.9,0.9931995924202229
ENSP00000357727,ENSP00000357722,S100A9,S100A8,0.999,0.877,0.17551,0.9,0.9913026545781695
ENSP00000358812,ENSP00000355541,PDCD11,HEATR1,0.999,0.737,0.78,0.9,0.9575340238544037
ENSP00000353512,ENSP00000296161,PARP9,DTX3L,0.996,0.692,0.86,0,0.9591282983611704
ENSP00000269576,ENSP00000252244,KRT10,KRT1,0.999,0.99,0.106,0.9,0.9931995924202229
ENSP00000427866,ENSP00000265709,DMTN,ANK1,0.515,0,0.47,0,0.9779730572770284
ENSP00000451752,ENSP00000265709,SPTB,ANK1,0.996,0.899,0.66,0.9,0.9964843479068951
ENSP00000357129,ENSP00000265709,SPTA1,ANK1,0.977,0.454,0.58,0.9,0.9981850204922089
ENSP00000360217,ENSP00000265709,RHAG,ANK1,0.687,0.379,0.44,0,0.9565119603681796
ENSP00000265709,ENSP00000262418,ANK1,SLC4A1,0.827,0.379,0.71,0,0.9970813563091679
ENSP00000300215,ENSP00000265709,EPB42,ANK1,0.775,0.305,0.6,0,0.9950601097253565
ENSP00000379866,ENSP00000331902,COL4A4,COL4A5,0.918,0,0.1196,0.9,0.9532635587632803
ENSP00000300527,ENSP00000295550,COL6A2,COL6A3,0.989,0,0.32104,0.9,0.9727712925809515
ENSP00000355180,ENSP00000295550,COL6A1,COL6A3,0.99,0,0.3155,0.9,0.9719332616465809
ENSP00000306361,ENSP00000306099,FGA,FGB,0.999,0.961,0.2444,0.9,0.973518468844682
ENSP00000336829,ENSP00000306361,FGG,FGA,0.999,0.966,0.2218,0.9,0.9714480565479154
ENSP00000375778,ENSP00000264144,LAMB3,LAMC2,0.978,0.478,0.38035,0.9,0.9846454243815841
ENSP00000451752,ENSP00000357129,SPTB,SPTA1,0.992,0.886,0.31481,0.9,0.9959017727823778
ENSP00000357129,ENSP00000265709,SPTA1,ANK1,0.977,0.454,0.58,0.9,0.9981850204922089
ENSP00000360217,ENSP00000357129,RHAG,SPTA1,0.743,0,0.24,0,0.9612323536122984
ENSP00000357129,ENSP00000262418,SPTA1,SLC4A1,0.64,0.084,0.58,0,0.9966425233521555
ENSP00000357129,ENSP00000300215,SPTA1,EPB42,0.81,0,0.78,0,0.9959584135039139
ENSP00000342181,ENSP00000312066,SRP72,SRP68,0.999,0.995,0.96,0.9,0.9554949902068172
ENSP00000451818,ENSP00000312066,SRP54,SRP68,0.999,0.96,0.96,0.9,0.952509929464133
ENSP00000325002,ENSP00000249923,COPG1,COPB1,0.999,0.965,0.84,0.9,0.9578866335034658
ENSP00000357048,ENSP00000325002,COPA,COPG1,0.999,0.979,0.57,0.9,0.9529698042135265
ENSP00000333994,ENSP00000251595,HBB,HBA2,0.995,0.965,0.090,0.72,0.9822936663327022
ENSP00000369654,ENSP00000333994,HBD,HBB,0.924,0,0.01091,0.9,0.9873343582075004
ENSP00000388325,ENSP00000252999,LAMB2,LAMA5,0.992,0.802,0.1996,0.9,0.9680274997739569
ENSP00000388325,ENSP00000258341,LAMB2,LAMC1,0.985,0.412,0.2214,0.9,0.9586762709112696
ENSP00000360217,ENSP00000265709,RHAG,ANK1,0.687,0.379,0.44,0,0.9565119603681796
ENSP00000360217,ENSP00000357129,RHAG,SPTA1,0.743,0,0.24,0,0.9612323536122984
ENSP00000360217,ENSP00000262418,RHAG,SLC4A1,0.724,0.379,0.5,0,0.9570385913845854
ENSP00000457421,ENSP00000246006,PECAM1,CD93,0.609,0,0.37,0,0.9707409658188187
ENSP00000361097,ENSP00000246006,MMRN2,CD93,0.493,0,0.3,0,0.9693795394541921
ENSP00000385834,ENSP00000360522,TF,RBP4,0.53,0,0.34,0,0.9518606257017868
ENSP00000342181,ENSP00000312066,SRP72,SRP68,0.999,0.995,0.96,0.9,0.9554949902068172
ENSP00000451818,ENSP00000342181,SRP54,SRP72,0.999,0.787,0.96,0.9,0.9543000057418933
ENSP00000236826,ENSP00000225275,MMP8,MPO,0.626,0,0.58,0,0.9572403504482926
