stringId_A,stringId_B,Name_A,Name_B,combined_score,experimental_score,textmining_score,database_score,corr_score
ENSP00000466090,ENSP00000236826,ELANE,MMP8,0.967,0,0.63,0.9,0.9521862684829191
ENSP00000258341,ENSP00000252999,LAMC1,LAMA5,0.995,0.812,0.30013,0.9,0.9533857574564776
ENSP00000388325,ENSP00000258341,LAMB2,LAMC1,0.985,0.412,0.2214,0.9,0.9586762709112696
ENSP00000264187,ENSP00000258341,NID1,LAMC1,0.995,0.834,0.67,0.9,0.9544666423504683
ENSP00000386972,ENSP00000327246,CALCRL,VIPR1,0.911,0,0.11541,0.9,0.9514659258429721
ENSP00000296046,ENSP00000250378,CPA3,CMA1,0.843,0.157,0.76,0,0.959789107612003
ENSP00000411532,ENSP00000262105,TOP2A,MCM4,0.916,0.05,0.47,0,0.9516178979606725
ENSP00000480987,ENSP00000262105,MCM3,MCM4,0.999,0.977,0.26245,0.9,0.9729247882603338
ENSP00000265056,ENSP00000262105,MCM2,MCM4,0.999,0.998,0.2302,0.9,0.974224244265231
ENSP00000264156,ENSP00000262105,MCM6,MCM4,0.999,0.998,0.24897,0.9,0.951848870871827
ENSP00000306361,ENSP00000306099,FGA,FGB,0.999,0.961,0.2444,0.9,0.973518468844682
ENSP00000336829,ENSP00000306099,FGG,FGB,0.999,0.962,0.18478,0.9,0.9959564800081651
ENSP00000457421,ENSP00000369375,PECAM1,TEK,0.858,0,0.85,0,0.9598371758576388
ENSP00000369375,ENSP00000278927,TEK,ESAM,0.416,0,0.35,0,0.9554097388917354
ENSP00000480987,ENSP00000265056,MCM3,MCM2,0.999,0.998,0.24537,0.9,0.955498298705788
ENSP00000265056,ENSP00000262105,MCM2,MCM4,0.999,0.998,0.2302,0.9,0.974224244265231
ENSP00000457421,ENSP00000246006,PECAM1,CD93,0.609,0,0.37,0,0.9707409658188187
ENSP00000457421,ENSP00000369375,PECAM1,TEK,0.858,0,0.85,0,0.9598371758576388
